id,cluster,entropy,turbulence,transitions
608,type 1,0.136698050715568,2.21266088331867,1
609,type 1,0.136698050715568,2.21266088331867,1
610,type 1,0.0815649357620124,2,1
611,type 1,0.136698050715568,2.21266088331867,1
612,type 1,0.0815649357620124,2,1
613,type 1,0.21695679408822,3.16220118545164,2
614,type 3,0.339855679587503,4.30021195470333,3
615,type 1,0.0815649357620124,2,1
616,type 1,0.447503454740376,4.37144823073116,2
617,type 2,0.415722741929312,4.40230919443592,2
618,type 3,0.427663107552391,4.63523570720238,3
619,type 4,0,1,0
620,type 3,0.381116455864281,3.90578465838235,2
621,type 2,0.554428225871649,6.10080064078749,2
622,type 1,0.261001822254378,3.33006430996604,2
623,type 4,0,1,0
624,type 1,0.136698050715568,2.21266088331867,1
625,type 2,0.685075483900481,7.86591881455221,5
626,type 1,0.381116455864281,3.90578465838235,2
627,type 1,0.251462998580061,2.96384033670458,1
628,type 1,0.251462998580061,2.96384033670458,1
629,type 3,0.261001822254378,3.33006430996604,2
630,type 4,0,1,0
631,type 1,0.162488237864537,3,2
632,type 1,0.136698050715568,2.21266088331867,1
633,type 1,0.270736167232985,3.33750089880782,2
634,type 1,0.21695679408822,3.16220118545164,2
635,type 2,0.757281288402422,8.55557869394006,5
636,type 1,0.34959002456611,4.30718150951818,3
637,type 3,0.298009650268171,3.5032381032867,2
638,type 1,0.261001822254378,3.33006430996604,2
639,type 1,0.181432261960644,2.44214272944144,1
640,type 1,0.181432261960644,2.44214272944144,1
641,type 3,0.497796054456388,5.00282604407876,3
642,type 1,0.0815649357620124,2,1
643,type 1,0.181432261960644,2.44214272944144,1
644,type 3,0.350328974383813,3.70968898075413,2
645,type 3,0.350328974383813,3.70968898075413,2
646,type 3,0.484196257020611,4.67630281225958,2
647,type 1,0.270736167232985,3.33750089880782,2
648,type 1,0.162488237864537,3,2
649,type 1,0.0815649357620124,2,1
650,type 1,0.0815649357620124,2,1
651,type 1,0.21695679408822,3.16220118545164,2
652,type 4,0.375614963150836,6.30012372456901,1
653,type 1,0.350328974383813,3.70968898075413,2
654,type 1,0.21695679408822,3.16220118545164,2
655,type 4,0,1,0
